Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2019-2020","Tripura","Gomati","Matabari","Rajnagar","968.0","1885.0","4.0","26.0","38.0","94.0","324.0","5.0","639.0","968.0","877.0","1196.0","877.0","1196.0","871.0","1140.0","28711.0","28711.0","0.0","1.0","0.0","5.0"
"2023-2024","Jammu And Kashmir","Kupwara","Rajwar","Zachaldara A","178.0","339.0","0.0","14.0","1.0","3.0","0.0","0.0","177.0","177.0","26.0","33.0","25.0","31.0","24.0","29.0","377.0","377.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Prayagraj","Kaudhiyara","Jaoknai","271.0","434.0","0.0","0.0","20.0","23.0","85.0","0.0","177.0","262.0","114.0","150.0","114.0","150.0","105.0","134.0","3686.0","3686.0","0.0","2.0","0.0","0.0"
"2021-2022","Assam","Baksa","Baska","Banganabari","3275.0","5359.0","1.0","14.0","48.0","103.0","392.0","739.0","2144.0","3275.0","995.0","1077.0","995.0","1077.0","894.0","958.0","12187.0","12187.0","0.0","0.0","0.0","11.0"
"2014-2015","Maharashtra","Solapur","Solapur South","Ouj-Aherwadi","166.0","285.0","0.0","0.0","0.0","0.0","0.0","0.0","144.0","144.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Jharkhand","Sahebganj","Rajmahal","Parariya","592.0","1144.0","43.0","155.0","11.0","11.0","56.0","42.0","494.0","592.0","272.0","392.0","272.0","392.0","227.0","305.0","5835.0","5835.0","0.0","1.0","0.0","0.0"
"2016-2017","Maharashtra","Nanded","Dharmabad","Chincholi","172.0","413.0","5.0","8.0","5.0","12.0","76.0","0.0","96.0","172.0","22.0","36.0","22.0","36.0","22.0","36.0","144.0","144.0","0.0","0.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Basti","Dubauliya","Tighra","532.0","599.0","7.0","8.0","46.0","46.0","180.0","4.0","335.0","519.0","256.0","257.0","256.0","257.0","240.0","240.0","11008.0","11004.0","4.0","0.0","0.0","0.0"
"2019-2020","Bihar","Bhagalpur","Sabour","Lodipur","1543.0","1839.0","2.0","2.0","46.0","68.0","206.0","0.0","1262.0","1468.0","48.0","55.0","47.0","53.0","32.0","37.0","1253.0","1253.0","0.0","0.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Amethi","Tiloi","Belava Hasanpur","371.0","531.0","117.0","221.0","144.0","202.0","58.0","4.0","264.0","326.0","348.0","517.0","348.0","517.0","310.0","444.0","18948.0","18948.0","0.0","64.0","0.0","1.0"
"2014-2015","Uttar Pradesh","Barabanki","Harakh","Sharifabad","332.0","448.0","2.0","6.0","0.0","14.0","19.0","0.0","313.0","332.0","49.0","59.0","49.0","59.0","38.0","42.0","1195.0","1195.0","0.0","4.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Mainpuri","Kuraoli","Jakhaua","152.0","223.0","0.0","0.0","18.0","21.0","3.0","0.0","149.0","152.0","59.0","74.0","59.0","74.0","54.0","68.0","2356.0","2356.0","0.0","1.0","0.0","0.0"
"2021-2022","Odisha","Nuapada","Komna","Soseng","501.0","1177.0","100.0","812.0","39.0","143.0","4.0","478.0","19.0","501.0","440.0","998.0","440.0","998.0","416.0","811.0","30820.0","27133.0","3687.0","103.0","0.0","1.0"
"2021-2022","Karnataka","Bengaluru Rural","Devanhalli","Bidaluru","959.0","2254.0","0.0","3.0","68.0","156.0","247.0","311.0","401.0","959.0","412.0","893.0","385.0","805.0","372.0","757.0","17917.0","17917.0","0.0","6.0","0.0","5.0"
"2021-2022","Maharashtra","Thane","Shahapur","Dalkhan","217.0","539.0","0.0","0.0","1.0","10.0","0.0","136.0","81.0","217.0","18.0","44.0","18.0","44.0","18.0","44.0","1147.0","851.0","296.0","6.0","0.0","0.0"
"2023-2024","Punjab","Ferozepur                 ","Firozpur","Khundar Gatti","160.0","400.0","0.0","0.0","0.0","2.0","150.0","0.0","10.0","160.0","57.0","88.0","57.0","88.0","51.0","72.0","1196.0","1196.0","0.0","0.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Agra","Saiyan","Kukavar","174.0","199.0","0.0","0.0","0.0","1.0","36.0","25.0","108.0","169.0","68.0","72.0","68.0","72.0","38.0","40.0","1354.0","1354.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttar Pradesh","Pratapgarh","Bihar","Sarai Nahar","818.0","1212.0","0.0","0.0","0.0","0.0","437.0","0.0","381.0","818.0","374.0","399.0","374.0","399.0","365.0","387.0","21377.0","21377.0","0.0","10.0","0.0","0.0"
"2018-2019","Odisha","Boudh","Boudh","Baunsuni","1054.0","2596.0","9.0","36.0","24.0","63.0","402.0","33.0","619.0","1054.0","346.0","624.0","346.0","624.0","331.0","580.0","11941.0","11941.0","0.0","0.0","26.0","0.0"
"2022-2023","Madhya Pradesh","Agar-Malwa","Agar","Shivgarh","402.0","939.0","0.0","1.0","17.0","45.0","100.0","0.0","249.0","349.0","102.0","146.0","102.0","146.0","98.0","140.0","5978.0","5978.0","0.0","1.0","0.0","6.0"
"2017-2018","Madhya Pradesh","Shahdol","Burhar","Ramnakanher","362.0","744.0","104.0","397.0","2.0","16.0","10.0","195.0","151.0","356.0","350.0","743.0","350.0","743.0","257.0","421.0","11371.0","11371.0","0.0","1.0","1.0","2.0"
"2023-2024","Uttar Pradesh","Prayagraj","Jasra","Gdaaiyakhaurd","177.0","310.0","60.0","159.0","0.0","0.0","101.0","0.0","76.0","177.0","24.0","40.0","43.0","74.0","33.0","57.0","1594.0","1594.0","0.0","1.0","0.0","0.0"
"2017-2018","Haryana","Jhajjar","Beri","Dighal","628.0","1190.0","1.0","12.0","86.0","148.0","363.0","0.0","265.0","628.0","430.0","646.0","430.0","646.0","417.0","619.0","18572.0","18572.0","0.0","0.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Farrukhabad","Shamsabad","Sarifpur Chichini","250.0","317.0","40.0","49.0","17.0","25.0","41.0","0.0","202.0","243.0","109.0","116.0","109.0","116.0","95.0","100.0","4605.0","4605.0","0.0","33.0","6.0","0.0"
"2019-2020","Kerala","Kollam","Pathana Puram","Piravanthoor","6972.0","11654.0","59.0","273.0","427.0","760.0","594.0","176.0","6196.0","6966.0","3965.0","5050.0","3965.0","5051.0","3501.0","4383.0","150277.0","150277.0","0.0","241.0","0.0","0.0"
"2022-2023","Maharashtra","Ahmednagar","Nevasa","Murame","416.0","1040.0","0.0","1.0","2.0","8.0","7.0","7.0","292.0","306.0","32.0","51.0","32.0","51.0","29.0","46.0","517.0","517.0","0.0","0.0","0.0","0.0"
"2019-2020","Maharashtra","Akola","Telhara","Talegaon Kd","335.0","622.0","0.0","0.0","9.0","20.0","38.0","0.0","297.0","335.0","67.0","75.0","67.0","75.0","65.0","73.0","1044.0","1044.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Meerut","Machra","Bahlolpur","96.0","107.0","14.0","18.0","5.0","6.0","36.0","0.0","53.0","89.0","31.0","32.0","31.0","32.0","18.0","19.0","676.0","676.0","0.0","0.0","0.0","0.0"
"2019-2020","Bihar","Nawada","Akbarpur","Malikpur Nemdarganj Panchayat","2850.0","4861.0","943.0","4635.0","276.0","670.0","174.0","5.0","2538.0","2717.0","1240.0","4339.0","1240.0","4339.0","1045.0","3580.0","70640.0","70640.0","0.0","72.0","0.0","0.0"
"2016-2017","Maharashtra","Yavatmal","Ralegaon","Khadaki","192.0","457.0","0.0","18.0","16.0","36.0","32.0","39.0","121.0","192.0","53.0","153.0","53.0","153.0","40.0","109.0","4386.0","4386.0","0.0","15.0","0.0","0.0"
"2022-2023","Andhra Pradesh","Anantapur","Tadpatri","Hussain Puram","126.0","223.0","69.0","201.0","4.0","9.0","38.0","0.0","88.0","126.0","71.0","117.0","71.0","117.0","64.0","96.0","3379.0","3379.0","0.0","3.0","0.0","2.0"
"2015-2016","Karnataka","Dakshina Kannada","Beltangadi","Sulkeri","296.0","744.0","8.0","20.0","20.0","42.0","61.0","29.0","206.0","296.0","39.0","87.0","39.0","87.0","23.0","51.0","739.0","739.0","0.0","0.0","8.0","0.0"
"2019-2020","Haryana","Mewat","Ferozepur Jhirka","Baghola","191.0","225.0","0.0","0.0","17.0","17.0","3.0","0.0","188.0","191.0","89.0","89.0","89.0","89.0","70.0","70.0","3643.0","3643.0","0.0","0.0","0.0","0.0"
"2019-2020","Manipur","Kangpokpi","Saitu Gamphazol","U.Saparmeina (Salem) Village","87.0","259.0","14.0","28.0","0.0","0.0","0.0","87.0","0.0","87.0","101.0","101.0","101.0","101.0","99.0","99.0","4959.0","4959.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Amroha","Gajraula","Shihali Mev Mustkam","170.0","249.0","0.0","1.0","14.0","22.0","4.0","0.0","166.0","170.0","170.0","249.0","170.0","249.0","116.0","164.0","6501.0","6501.0","0.0","0.0","0.0","0.0"
"2019-2020","Manipur","Kangpokpi","Lhungtin  Td Block","Somphung","48.0","97.0","0.0","0.0","0.0","2.0","0.0","48.0","0.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","2016.0","2016.0","0.0","0.0","0.0","0.0"
"2014-2015","Maharashtra","Gadchiroli","Dhanora","Mungner","113.0","381.0","0.0","1.0","0.0","4.0","0.0","112.0","0.0","112.0","28.0","43.0","28.0","43.0","28.0","43.0","258.0","258.0","0.0","0.0","13.0","0.0"
"2023-2024","Tamil Nadu","Chengalpattu","Lathur","Ammanoor","282.0","477.0","3.0","8.0","16.0","23.0","152.0","0.0","122.0","274.0","231.0","271.0","231.0","271.0","227.0","247.0","9756.0","9756.0","0.0","0.0","0.0","7.0"
"2014-2015","Gujarat","Bhavnagar","Palitana                                          ","Panderiya","19.0","63.0","56.0","193.0","0.0","0.0","0.0","0.0","19.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Haryana","Panipat","Sanoli Khurd","Nawada Par","16.0","35.0","0.0","0.0","2.0","5.0","2.0","0.0","14.0","16.0","10.0","21.0","10.0","21.0","8.0","16.0","405.0","405.0","0.0","0.0","0.0","0.0"
"2020-2021","Chhattisgarh","Balrampur","Kusami","Gautampur","325.0","631.0","1.0","4.0","44.0","64.0","1.0","276.0","48.0","325.0","319.0","539.0","319.0","539.0","259.0","408.0","16290.0","16290.0","0.0","56.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Barabanki","Ramnagar","Shekhpur Alipur","537.0","557.0","0.0","0.0","0.0","0.0","90.0","0.0","447.0","537.0","82.0","82.0","82.0","82.0","73.0","73.0","1328.0","1328.0","0.0","0.0","0.0","0.0"
"2022-2023","Manipur","Kangpokpi","Saikul","Gunphaijang","35.0","72.0","0.0","0.0","0.0","0.0","0.0","35.0","0.0","35.0","13.0","13.0","13.0","13.0","13.0","13.0","130.0","130.0","0.0","0.0","0.0","0.0"
"2022-2023","Punjab","Faridkot","Jaitu","Ramgarh","256.0","425.0","15.0","36.0","3.0","7.0","224.0","0.0","32.0","256.0","193.0","255.0","193.0","255.0","186.0","236.0","6062.0","6062.0","0.0","2.0","0.0","0.0"
"2017-2018","Maharashtra","Aurangabad","Kannad","Sirasgaon","800.0","2258.0","0.0","0.0","15.0","29.0","121.0","64.0","580.0","765.0","29.0","43.0","29.0","43.0","22.0","32.0","1195.0","1195.0","0.0","1.0","0.0","0.0"
"2017-2018","Uttar Pradesh","Aligarh","Tappal","Bichpuri","89.0","98.0","0.0","0.0","14.0","14.0","38.0","0.0","51.0","89.0","54.0","54.0","54.0","54.0","49.0","49.0","1184.0","1184.0","0.0","0.0","3.0","0.0"
"2018-2019","Madhya Pradesh","Sehore","Nasrullaganj","Khatyakhedi","223.0","485.0","4.0","51.0","9.0","16.0","54.0","70.0","99.0","223.0","97.0","162.0","97.0","162.0","74.0","111.0","4458.0","4458.0","0.0","0.0","0.0","0.0"
"2018-2019","Rajasthan","Chittorgarh","Bhupalsagar","Ana‍Oppura","959.0","1956.0","0.0","2.0","14.0","26.0","243.0","209.0","496.0","948.0","417.0","582.0","417.0","577.0","359.0","479.0","12582.0","12582.0","0.0","1.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Kanpur Nagar","Ghatampur","Dharmangadpur","360.0","685.0","0.0","2.0","2.0","17.0","138.0","1.0","217.0","356.0","54.0","79.0","54.0","79.0","47.0","66.0","2378.0","2378.0","0.0","0.0","0.0","2.0"
"2022-2023","Uttar Pradesh","Ballia","Hanumanganj","Deokali","454.0","520.0","43.0","48.0","15.0","31.0","123.0","14.0","317.0","454.0","206.0","227.0","206.0","227.0","201.0","219.0","13434.0","13434.0","0.0","57.0","0.0","0.0"
"2020-2021","Telangana","Kamareddy","Domakonda","Muthyampet","888.0","2152.0","0.0","125.0","154.0","217.0","175.0","8.0","705.0","888.0","721.0","1391.0","734.0","1418.0","622.0","1138.0","38925.0","38925.0","0.0","103.0","0.0","20.0"
"2018-2019","Chhattisgarh","Raipur","Tilda","Raikheda","855.0","2494.0","2.0","85.0","17.0","93.0","16.0","44.0","789.0","849.0","811.0","1942.0","811.0","1942.0","558.0","1042.0","37400.0","37400.0","0.0","114.0","0.0","10.0"
"2021-2022","Jharkhand","Hazaribagh","Katkamsandi","Gadokhar","597.0","1010.0","3.0","9.0","64.0","123.0","190.0","0.0","312.0","502.0","89.0","173.0","88.0","170.0","80.0","113.0","1727.0","1727.0","0.0","1.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Bareilly","Faridpur","Harela","128.0","146.0","0.0","0.0","1.0","1.0","51.0","0.0","77.0","128.0","61.0","63.0","61.0","63.0","50.0","51.0","860.0","860.0","0.0","0.0","6.0","0.0"
"2016-2017","Uttar Pradesh","Auraiya","Sahar","Purwa Bale","242.0","347.0","4.0","7.0","1.0","2.0","69.0","0.0","173.0","242.0","47.0","58.0","47.0","58.0","39.0","45.0","619.0","619.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Lucknow","Mal","Bahraura","328.0","531.0","0.0","32.0","0.0","0.0","253.0","1.0","69.0","323.0","118.0","147.0","118.0","147.0","89.0","104.0","1536.0","1536.0","0.0","0.0","1.0","0.0"
